Dates,ABI BB Equity,AD NA Equity,ADS GY Equity,AI FP Equity,AIR FP Equity,ALV GY Equity,AMS SQ Equity,ASML NA Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,CRH ID Equity,CS FP Equity,DAI GY Equity,DG FP Equity,DPW GY Equity,DTE GY Equity,EL FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,FP FP Equity,FRE GY Equity,GLE FP Equity,IBE SQ Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,KER FP Equity,LIN GY Equity,MC FP Equity,MUV2 GY Equity,NOKIA FH Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,SAF FP Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SIE GY Equity,SU FP Equity,TEF SQ Equity,UNA NA Equity,URW NA Equity,VIV FP Equity,VOW3 GY Equity
30/06/2000,#N/A N/A,37.5183,14.485,31.293,#N/A N/A,340.497,#N/A N/A,45.02,21.05,37.684,14.7954,31.65,32.7905,48.6034,15.5769,38.9706,54.63,10.6771,#N/A N/A,59.8,15.01,8.2508,#N/A N/A,12.154,39.6242,9.35,55.5215,3.375,27.1829,4.4305,#N/A N/A,212.92,#N/A N/A,77.85,312.916,53.45,90.7,126.312,50.9278,58.4762,49.9,10.1331,38.6,102.071,36.1313,19.5816,16.1667,#N/A N/A,89.4676,24.591
03/07/2000,#N/A N/A,36.7273,14.65,31.4534,#N/A N/A,342.036,#N/A N/A,44.3,21.48,38.136,15.122,32.37,33.4982,49.6642,15.4368,39.2068,55.35,10.6771,#N/A N/A,58.5,15.745,8.1591,#N/A N/A,12.396,40.6852,9.106,56.3147,3.31,27.1061,4.4118,#N/A N/A,212.28,#N/A N/A,78.54,321.476,54.9,84.55,128.469,51.5979,60.9047,51,10.0781,39.25,105.295,35.8838,20.4519,16.25,#N/A N/A,89.0321,24.512
04/07/2000,#N/A N/A,35.8998,14.438,31.9803,#N/A N/A,328.101,#N/A N/A,44.25,21.705,38.735,15.1028,33.35,35.0316,49.2784,15.7335,38.8525,56.63,10.9348,#N/A N/A,56,15.45,7.9881,#N/A N/A,12.208,40.9319,9.214,56.2265,3.3475,27.1598,4.3865,#N/A N/A,205.88,#N/A N/A,77.46,303.595,56.52,81.5,123.6374,52.8351,59.7619,50.2,10.3165,40,108.532,35.4631,21.1829,16.1667,#N/A N/A,91.0159,24.85
05/07/2000,#N/A N/A,36.0458,14.578,30.8807,#N/A N/A,332.851,#N/A N/A,42.2,21.575,38.717,15.0068,33.46,34.371,50.0981,15.8653,39.2068,56.21,11.6343,#N/A N/A,57.45,15,7.9723,#N/A N/A,11.998,39.4762,9.296,57.9451,3.3625,27.3019,4.2983,#N/A N/A,203.13,#N/A N/A,78.23,305.307,54.19,87.35,123.7237,49.9072,58.9047,50.05,10.1056,38.875,107.963,35.0919,20.887,16.3667,#N/A N/A,89.9998,25.347
06/07/2000,#N/A N/A,35.5347,14.525,30.8349,#N/A N/A,332.987,#N/A N/A,41.9,21.15,38.108,15.0836,36.19,33.97,50.6285,15.7417,38.262,55.5,11.4355,#N/A N/A,58.45,15.695,7.937,#N/A N/A,12.018,39.3528,9.323,56.3147,3.425,27.0024,4.4465,#N/A N/A,202.04,#N/A N/A,77.87,303.404,53.5,86.9,125.7081,48.7526,60.3333,48.3,10.2248,38,105.043,35.0671,20.887,16.4333,#N/A N/A,88.1611,25.247
07/07/2000,#N/A N/A,35.8024,14.85,31.1556,#N/A N/A,332.987,#N/A N/A,44.35,21.235,38.551,15.1701,34.5,33.6161,50.8214,15.6346,39.1832,57,11.5288,#N/A N/A,61.14,16,7.8876,#N/A N/A,12.148,39.5996,9.54,55.9621,3.42,27.2174,4.4999,#N/A N/A,204.05,#N/A N/A,79.49,304.831,55.9,89.9,130.2809,50.8763,61.2857,50.15,10.3807,38.975,104.978,34.2505,21.4788,16.1667,#N/A N/A,87.145,24.969
10/07/2000,#N/A N/A,35.2791,14.425,30.2392,17.5,328.282,#N/A N/A,46,21.075,38.753,15.0836,34.53,33.6161,51.5929,15.6593,37.9078,58.05,11.7448,#N/A N/A,61.35,16.145,7.8788,#N/A N/A,12.004,39.9697,9.42,55.5215,3.4025,27.7166,4.3489,#N/A N/A,200.66,#N/A N/A,79.22,292.79,57.6,87.75,130.2809,52.1134,56.7428,50.3,10.3807,38.55,107.24,33.1616,21.2787,16.3833,#N/A N/A,87.0966,25.148
11/07/2000,#N/A N/A,34.768,14,30.56,18.2,325.929,#N/A N/A,46.25,21,38.551,14.8915,36.02,34.2531,51.0625,15.445,35.9002,57.78,11.7325,#N/A N/A,59.81,15.55,7.8524,#N/A N/A,12.022,40.5865,9.757,56.0943,3.41,27.7588,4.4005,#N/A N/A,205.88,#N/A N/A,80.84,292.086,55.61,84.7,127.3474,52.8866,58.08,50.5,10.3257,38.625,107.44,34.8939,21.5659,16.2333,#N/A N/A,84.4353,24.601
12/07/2000,#N/A N/A,36.2162,14.248,30.7203,18.45,327.558,#N/A N/A,46.63,21.75,40.016,14.7089,37.61,35.008,49.9535,15.2472,36.8449,57.58,12.113,#N/A N/A,57.93,15.95,7.8242,#N/A N/A,11.946,40.3644,9.973,54.6402,3.3475,27.7511,4.4643,#N/A N/A,203.59,#N/A N/A,80.98,291.04,56.21,84.95,129.4181,53.866,60.0686,50.2,10.2248,40.718,112.996,35.4383,21.8095,16.1667,#N/A N/A,85.6934,24.472
13/07/2000,#N/A N/A,36.131,14.038,30.4683,17.98,334.335,#N/A N/A,46.93,22.3,40.007,14.6513,37.8,34.4418,48.6998,15.412,36.8449,57,12.113,#N/A N/A,59.35,16.01,7.8365,#N/A N/A,11.872,40.7592,10.136,54.4639,3.255,27.2482,4.4906,#N/A N/A,201.3,#N/A N/A,80.93,296.927,58.94,84.8,133.5594,55.7732,60.3428,48.75,10.3073,44.375,116.284,35.0919,21.8444,15.95,#N/A N/A,85.1611,24.85
