Dates,ABI BB Equity,AD NA Equity,ADS GY Equity,AI FP Equity,AIR FP Equity,ALV GY Equity,AMS SQ Equity,ASML NA Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,CRH ID Equity,CS FP Equity,DAI GY Equity,DG FP Equity,DPW GY Equity,DTE GY Equity,EL FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,FP FP Equity,FRE GY Equity,GLE FP Equity,IBE SQ Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,KER FP Equity,LIN GY Equity,MC FP Equity,MUV2 GY Equity,NOKIA FH Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,SAF FP Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SIE GY Equity,SU FP Equity,TEF SQ Equity,UNA NA Equity,URW NA Equity,VIV FP Equity,VOW3 GY Equity
6/30/2000,#N/A N/A,37.5183,14.485,31.293,#N/A N/A,340.497,#N/A N/A,45.02,21.05,37.684,14.7954,31.65,32.7905,48.6034,15.5769,38.9706,54.63,10.6771,#N/A N/A,59.8,15.01,8.2508,#N/A N/A,12.154,39.6242,9.35,55.5215,3.375,27.1829,4.4305,#N/A N/A,212.92,#N/A N/A,77.85,312.916,53.45,90.7,126.312,50.9278,58.4762,49.9,10.1331,38.6,102.071,36.1313,19.5816,16.1667,#N/A N/A,89.4676,24.591
7/31/2000,#N/A N/A,35.8632,14.463,31.4992,18.1,361.951,#N/A N/A,41.75,22.35,41.593,14.9875,37,38.2398,51.3518,15.0412,38.7344,56.91,11.3373,#N/A N/A,47.01,16.035,7.796,#N/A N/A,12.046,39.4515,9.312,59.0467,3.1125,27.6974,4.4952,#N/A N/A,205.15,#N/A N/A,84.58,339.547,47.81,88.15,118.1156,50.3918,51.4286,57.55,10.1514,48.75,107.886,36.453,19.7557,16,#N/A N/A,83.4192,28.08
8/31/2000,#N/A N/A,38.7231,15.155,32.8737,17.94,343.393,#N/A N/A,42.53,20.885,43.787,16.054,36.56,36.2818,49.9053,15.5109,37.8605,57.9,13.9907,#N/A N/A,43.25,15.6,7.8929,#N/A N/A,13.068,41.228,10.57,58.7823,3.2375,28.949,4.5018,#N/A N/A,194.81,#N/A N/A,78.77,293.789,49.37,81.4,110.8681,54.8,53.16,54.9,11.096,55,116.607,41.0808,18.7983,17.8167,#N/A N/A,89.0321,28.835
9/29/2000,#N/A N/A,39.1003,15.533,30.4454,19.85,337.819,#N/A N/A,37.6,20.135,38.855,16.4479,38.75,36.7065,48.1694,14.8681,34.9554,50.84,14.1747,#N/A N/A,38.97,13.95,7.7184,#N/A N/A,12,40.9072,11.735,55.8299,3.6,28.9797,4.1229,#N/A N/A,182.55,#N/A N/A,77.1,321.476,45.92,87.95,104.7424,48.77,41.4686,60.9,11.4077,55.533,94.319,35.3394,19.5381,17.8667,#N/A N/A,81.4837,31.3
10/31/2000,#N/A N/A,41.6559,13.525,31.9116,24,361.535,#N/A N/A,32.21,23.1,47.151,15.0836,39.02,38.8768,48.9891,14.7362,36.8449,54.3,14.5429,#N/A N/A,44.25,14.15,7.6884,#N/A N/A,12.74,41.598,11.735,58.9585,3.6025,31.0683,4.619,#N/A N/A,192.43,#N/A N/A,77.51,352.387,48.49,90,106.2954,46.31,37.0286,62,10.4724,48.475,96.936,37.9873,19.5555,19.5333,#N/A N/A,81.9676,34.133
11/30/2000,20.63,44.8321,16.313,34.4315,24.1,358.866,#N/A N/A,24.11,21.675,46.322,14.757,34.15,36.0223,42.8173,13.8049,38.0258,44.01,15.2302,22.42,36.11,16.72,7.625,#N/A N/A,14.024,40.5371,12.57,54.6402,3.4375,31.7825,4.7485,#N/A N/A,190.32,#N/A N/A,68.49,355.43,48.15,91.9,83.259,38.01,21.7886,70,9.3444,30.5,84.435,35.1414,15.7088,23.6667,#N/A N/A,68.7095,32.652
12/29/2000,23.21,41.8141,16.5,36.4016,23.66,360.676,#N/A N/A,24.19,24.085,51.502,15.2277,34.9,37.886,45.0835,16.3351,36.3725,44.74,16.077,23.05,32.1,17.375,7.2776,#N/A N/A,13.634,39.0814,11.816,58.3416,3.3375,32.6655,4.7747,#N/A N/A,209.45,#N/A N/A,63.54,362.43,47.5,91.3,79.3333,39.02,24.4114,71,10.454,30.573,89.926,38.4575,15.3172,22.5167,#N/A N/A,67.8386,31.509
1/31/2001,18.69,40.3294,19.425,33.4235,23,333.847,#N/A N/A,30.69,23.645,49.124,16.5247,37.74,33.4982,47.9283,16.7307,34.9082,51.05,14.6043,23.27,35.99,16.75,7.0238,#N/A N/A,13.996,39.1061,11.301,63.7616,3.6625,31.5444,4.9164,#N/A N/A,205.97,#N/A N/A,63.36,332.794,37.8,83,85.6748,41.36,21.2571,61.9,10.8209,41.25,100.327,36.8242,18.26,20.1167,#N/A N/A,78.6289,31.658
2/28/2001,18.95,42.6416,17,34.065,22.5,325.848,#N/A N/A,23.71,24.475,48.949,15.5448,37.65,35.4562,42.8173,16.8296,32.4046,53.36,16.077,23.4,26.45,16.65,6.6077,#N/A N/A,14.08,37.8725,12.087,58.562,4.1,28.8146,4.3086,#N/A N/A,200.48,#N/A N/A,60.16,335.314,24.6,81.5,55.8223,35.77,19.4571,59,10.1881,41.853,80.979,35.1414,16.4668,20.5833,#N/A N/A,66.387,35.753
3/30/2001,18.12,42.812,14.878,36.5162,21.01,295.888,#N/A N/A,25.2,22.63,44.377,14.8434,34.57,33.9228,45.9514,15.7427,29.7357,50.65,17.1815,19.4,26.75,16.25,6.5478,#N/A N/A,14.778,37.8725,9.377,61.6905,4.02,28.4115,4.0094,#N/A N/A,178.43,#N/A N/A,51.37,318.908,27.21,76.9,57.2459,31.1,15.0857,63.2,9.4912,32.188,74.68,32.6666,16.4792,19.9833,#N/A N/A,66.6289,31.509
