Dates,ABI BB Equity,AD NA Equity,ADS GY Equity,AI FP Equity,AIR FP Equity,ALV GY Equity,AMS SQ Equity,ASML NA Equity,BAS GY Equity,BAYN GY Equity,BBVA SQ Equity,BMW GY Equity,BN FP Equity,BNP FP Equity,CRH ID Equity,CS FP Equity,DAI GY Equity,DG FP Equity,DPW GY Equity,DTE GY Equity,EL FP Equity,ENEL IM Equity,ENGI FP Equity,ENI IM Equity,FP FP Equity,FRE GY Equity,GLE FP Equity,IBE SQ Equity,INGA NA Equity,ISP IM Equity,ITX SQ Equity,KER FP Equity,LIN GY Equity,MC FP Equity,MUV2 GY Equity,NOKIA FH Equity,OR FP Equity,ORA FP Equity,PHIA NA Equity,SAF FP Equity,SAN FP Equity,SAN SQ Equity,SAP GY Equity,SIE GY Equity,SU FP Equity,TEF SQ Equity,UNA NA Equity,URW NA Equity,VIV FP Equity,VOW3 GY Equity
6/30/2000,#N/A N/A,37.5183,14.485,31.293,#N/A N/A,340.497,#N/A N/A,45.02,21.05,37.684,14.7954,31.65,32.7905,48.6034,15.5769,38.9706,54.63,10.6771,#N/A N/A,59.8,15.01,8.2508,#N/A N/A,12.154,39.6242,9.35,55.5215,3.375,27.1829,4.4305,#N/A N/A,212.92,#N/A N/A,77.85,312.916,53.45,90.7,126.312,50.9278,58.4762,49.9,10.1331,38.6,102.071,36.1313,19.5816,16.1667,#N/A N/A,89.4676,24.591
7/7/2000,#N/A N/A,35.8024,14.85,31.1556,#N/A N/A,332.987,#N/A N/A,44.35,21.235,38.551,15.1701,34.5,33.6161,50.8214,15.6346,39.1832,57,11.5288,#N/A N/A,61.14,16,7.8876,#N/A N/A,12.148,39.5996,9.54,55.9621,3.42,27.2174,4.4999,#N/A N/A,204.05,#N/A N/A,79.49,304.831,55.9,89.9,130.2809,50.8763,61.2857,50.15,10.3807,38.975,104.978,34.2505,21.4788,16.1667,#N/A N/A,87.145,24.969
7/14/2000,#N/A N/A,36.3744,13.748,30.4683,17.98,355.246,#N/A N/A,48.8,21.825,39.177,14.7762,36.43,34.4418,48.6998,15.4945,36.8449,56.7,12.113,#N/A N/A,59.69,16.01,7.8718,#N/A N/A,11.768,40.7592,10.114,54.4639,3.275,27.3749,4.4315,#N/A N/A,201.3,#N/A N/A,80.93,318.052,58.8,84.8,133.5594,56.701,60.3428,48.75,10.3165,44.25,116.284,35.0919,22.1925,16.1833,#N/A N/A,85.1611,24.382
7/21/2000,#N/A N/A,35.6807,14.388,30.6974,18.1,366.467,#N/A N/A,47.15,21.95,39.823,14.9299,36.99,33.451,49.4713,15.412,37.5299,59.06,11.5116,#N/A N/A,55.27,16,7.8065,#N/A N/A,11.914,38.6127,9.431,53.847,3.1875,26.7836,4.4446,#N/A N/A,207.43,#N/A N/A,82.01,311.346,57.81,78,122.9472,55.4639,57.4286,52.05,10.2064,47.775,113.054,36.3788,21.3309,16.3333,#N/A N/A,88.0643,26.837
7/28/2000,#N/A N/A,36.204,14.473,30.8119,18.12,366.467,#N/A N/A,40,22.25,41.713,14.805,36.45,37.0367,50.725,15.2472,37.7897,56.8,11.4134,#N/A N/A,47.15,16.345,7.7872,#N/A N/A,12.016,39.0074,9.106,58.8704,3.115,27.6474,4.333,#N/A N/A,201.12,#N/A N/A,83.23,334.791,46.95,83.45,114.7507,47.9381,52.8,57.2,10.2156,46,104.914,37.4924,20.1038,16.5,#N/A N/A,83.7095,27.533
8/4/2000,#N/A N/A,38.3823,13.75,31.5221,18,346.288,#N/A N/A,37.3,22.4,41.454,15.0836,36.4,35.8572,51.2071,15.0412,39.9626,57.22,11.4748,#N/A N/A,45.72,16.45,7.5915,#N/A N/A,12.324,40.1917,9.876,55.8299,3.2625,27.5131,4.4671,#N/A N/A,203.13,#N/A N/A,83.77,313.553,45.2,86.25,117.5979,46.22,49.0114,55.5,10.3348,47.525,101.949,38.2348,19.747,17.5,#N/A N/A,81.3385,28.13
8/11/2000,#N/A N/A,38.3093,13.725,32.1177,18,354.468,#N/A N/A,37.5,20.955,42.22,15.9963,37.75,37.1547,51.0625,14.7115,38.7108,62.35,11.7988,#N/A N/A,48.35,16.115,7.6144,#N/A N/A,12.4,41.9928,11.112,57.2841,3.2875,28.4499,4.6547,#N/A N/A,197.64,#N/A N/A,86.11,329.56,44.7,84.2,118.5469,47.96,50.9143,56.5,10.8484,54.5,106.077,38.3091,21.3483,17.9833,#N/A N/A,83.1289,29.849
8/18/2000,#N/A N/A,38.6014,13.76,32.8966,17.53,343.565,#N/A N/A,44.08,20.83,42.975,16.5247,36.45,36.6829,51.9786,15.3296,39.3249,60.01,13.0579,#N/A N/A,46.03,16.2,7.8859,#N/A N/A,13.336,43.7199,11.112,57.24,3.3,28.8338,4.6772,#N/A N/A,192.24,#N/A N/A,83.45,307.97,45.8,81.9,111.2995,53.7,49.4228,53.75,11.527,54.05,109.772,37.4676,19.6947,17.5333,#N/A N/A,80.3708,29.551
8/25/2000,#N/A N/A,39.3072,13.688,32.8966,18.05,348.18,#N/A N/A,43.6,21.095,44.874,16.2365,37.35,36.4706,51.834,15.4285,40.3877,60.64,13.9661,#N/A N/A,44.3,15.65,8.0375,#N/A N/A,13.032,42.5356,11.112,58.0332,3.325,28.8722,4.6284,#N/A N/A,187.58,#N/A N/A,82.42,302.453,46.3,82.55,113.8879,53.85,52.4571,58.7,11.0593,54.55,114.023,40.1404,18.6243,18,#N/A N/A,80.516,29.819
9/1/2000,#N/A N/A,38.8204,15.875,33.1257,17.99,348.008,#N/A N/A,45.5,21.055,43.003,16.1885,36.29,36.6357,50.0017,15.9478,37.3645,57.93,14.4816,#N/A N/A,46.2,15.485,7.9494,#N/A N/A,12.88,42.3136,10.841,60.8093,3.1875,28.5651,4.3555,#N/A N/A,200.02,#N/A N/A,81.29,298.173,52.32,82.75,122.1707,56.5,57.1886,57.55,10.9126,58,119.837,41.3282,20.1995,17.3333,#N/A N/A,92.0805,30.018
